org_id,total_mentions,avg_prominence,sum_prominence,prominence_rate,unique_policy_areas,most_common_policy,CATEGORY,LOCATION,FOUNDED,MSHIP_STATUS11,LOBBYING11,ABBREVCAT
2201,72,0.6527777777777778,47,0.6527777777777778,9,1500.0,(204) Trade associations,DC,1942,(3) Association of institutions,4250.0,(2) Trade and other business associations
2202,8,0.5,4,0.5,1,1500.0,(302) Association of public employees,DC,1933,(2) Association of individuals,0.0,(3) Occupational associations
2203,7,0.42857142857142855,3,0.42857142857142855,2,700.0,(2401) Other,DC,1950,(6) Other,0.0,(16) Other
2204,6,0.16666666666666666,1,0.16666666666666666,1,300.0,(606) Other educational,DC,1967,(3) Association of institutions,588.0,(5) Education
2207,1,0.0,0,0.0,0,,(606) Other educational,DC,1962,(3) Association of institutions,0.0,(5) Education
2208,6,0.0,0,0.0,1,100.0,(204) Trade associations,DC,1967,(3) Association of institutions,1747.7410278,(2) Trade and other business associations
2210,6,1.0,6,1.0,1,800.0,"(301) Association of business professionals, managers, executives, and administrators",DC,1890,(2) Association of individuals,2895.0,(3) Occupational associations
2211,167,0.1497005988023952,25,0.1497005988023952,4,1400.0,(302) Association of public employees,DC,1871,(2) Association of individuals,0.0,(3) Occupational associations
2214,10,0.1,1,0.1,2,1600.0,(402) White collar union - public,DC,1889,(2) Association of individuals,1180.0,(4) Unions
2215,296,0.7567567567567568,224,0.7567567567567568,11,100.0,(205) Other business assocations,DC,1895,(3) Association of institutions,16810.0,(2) Trade and other business associations
2223,16,0.3125,5,0.3125,3,1600.0,(204) Trade associations,DC,1895,(3) Association of institutions,2020.0,(2) Trade and other business associations
2225,1,0.0,0,0.0,1,100.0,(1111) Citizenship empowerment,DC,1975,(2) Association of individuals,0.0,(7) Public interest
2226,9,0.3333333333333333,3,0.3333333333333333,2,800.0,(303) Professional association,DC,1980,(2) Association of individuals,0.0,(3) Occupational associations
2234,100,0.94,94,0.94,4,100.0,(405) public sector Union - mixed,DC,1978,(2) Association of individuals,320.0,(4) Unions
2238,4,0.5,2,0.5,0,,(204) Trade associations,DC,1984,(3) Association of institutions,1296.4379882,(2) Trade and other business associations
2239,2,0.5,1,0.5,0,,"(301) Association of business professionals, managers, executives, and administrators",DC,1931,(2) Association of individuals,1203.9849854,(3) Occupational associations
2241,4,0.25,1,0.25,1,100.0,(702) Other health,DC,1933,(3) Association of institutions,480.0,(6) Health
2245,2,0.5,1,0.5,1,100.0,(1101) Consumer,DC,1967,(2) Association of individuals,0.0,(7) Public interest
